Code,Latitude,Longitude
ATL
BDL
BOS
BUF
CLT
DCA
DEN
DFW
EWR
FLL
JAX
JFK
LAX
LGA
MCI
MCO
MEM
MIA
MSP
MSY
OKC
ORD
PHL
PHX
PIT
RDU
RIC
RSW
SMF
LAS
SEA
SFO
SAN
